model,feature_set,country,fold,fold_train_MAE,fold_val_MAE,fold_val_RMSE,fold_val_MAPE
LSTCN,baseline,Canada,0,0.22284170793947825,0.11928178865104093,0.1489284960547853,7.853435570253465
LSTCN,baseline,Canada,1,0.3702722528328802,0.18660779930591198,0.20745454200782698,0.6359506158519461
LSTCN,baseline,Canada,2,0.61129252225415,0.14037250862529438,0.15611839400044936,0.2569813984053733
LSTCN,baseline,Canada,3,0.5938645148039942,0.13359015660557777,0.15093756043491513,0.4570484012067547
LSTCN,baseline,Canada,4,0.6376799812800805,0.03231393624806907,0.03491260722758671,0.060025025458518656
LSTCN,baseline,Russian Federation,1,0.28627518458945567,0.07901170753573261,0.10262623820233775,0.1510327967519013
LSTCN,baseline,Russian Federation,2,0.22592641168137007,0.04696468774309043,0.06495715050603339,0.11989792806602759
LSTCN,baseline,Russian Federation,3,0.22200739630705268,0.24439934902477162,0.28031473250744104,0.7843556862584439
LSTCN,baseline,Russian Federation,4,0.1872646382736797,0.08372186895422025,0.09595745856256793,0.17429525258083484
LSTCN,baseline,China,0,0.012257640117161425,0.022817426588438994,0.03066702913419831,0.03168287885156755
LSTCN,baseline,China,1,0.01393908491718655,0.026077535815154124,0.033058838281168575,0.05534584399366205
LSTCN,baseline,China,2,0.014532364075098095,0.0352409521325065,0.04356994427319202,0.779318856143304
LSTCN,baseline,China,3,0.014792681972708928,0.10552876453523377,0.11474606097567375,0.46769246467875436
LSTCN,baseline,China,4,0.02607354956333102,0.040258230202660714,0.046090247555925015,0.07739716434431487
LSTCN,baseline,United States,0,0.14059963256706579,0.18883486791673607,0.2094916559598262,0.26911847270707245
LSTCN,baseline,United States,1,0.33848100139639736,0.11367230469652448,0.14892971443094444,0.14458761788904856
LSTCN,baseline,United States,2,0.18445214246641148,0.09937800210336797,0.12635613999745057,0.1457248518395535
LSTCN,baseline,United States,3,0.32916548243308186,0.23083516875484072,0.24416826223199603,1.8360478503766662
LSTCN,baseline,United States,4,0.3524646133860876,0.10275847757689391,0.1298941348644229,1.5297068139358898
LSTCN,baseline,India,0,0.008924512355055111,0.02147116716271591,0.02397967113128042,0.03345202849602901
LSTCN,baseline,India,1,0.010666936955473582,0.031476795164433385,0.035594211522287804,0.05801092761016056
LSTCN,baseline,India,2,0.013865470096241376,0.013361233442511264,0.016216751826251923,0.04088953861086098
LSTCN,baseline,India,3,0.012892118194712242,0.08362229457410886,0.09703996602564255,1.1897122822466921
LSTCN,baseline,India,4,0.020254353321005364,0.0340606371141099,0.052176735202851314,0.10531651472301347
LSTCN,baseline,Indonesia,0,0.12334574506490008,0.045178398592731456,0.05055886254400589,0.08584816610291636
LSTCN,baseline,Indonesia,1,0.1566911776261196,0.054234304838801414,0.06294951773129405,0.14610647007324926
LSTCN,baseline,Indonesia,2,0.20321030947935834,0.04135346720229204,0.0451229768465756,0.1851956763594979
LSTCN,baseline,Indonesia,3,0.035773727300451294,0.05342835224990197,0.05870846559981556,0.5661917423413677
LSTCN,baseline,Indonesia,4,0.05521466761266431,0.03589349346951596,0.037567976470618915,0.5546974672600524
LSTCN,augmented,Canada,0,0.3049612680031748,0.13457072949613869,0.1425285749597441,20.11700589051652
LSTCN,augmented,Canada,1,0.2534068313620422,0.20726640198956994,0.28488372023700614,0.8984067104649034
LSTCN,augmented,Canada,2,0.2814416276120167,0.16425186131024436,0.23181424697854508,0.2998160668185363
LSTCN,augmented,Canada,3,0.4604014972623955,0.10148072230844678,0.11705842126150226,0.3079150028694467
LSTCN,augmented,Canada,4,0.5546944222317213,0.0658059975975353,0.08690751812249142,0.12685283241288348
LSTCN,augmented,Russian Federation,1,0.28627518458945567,0.07703294925611415,0.09960275337208606,0.147137235883267
LSTCN,augmented,Russian Federation,2,0.22610638211633619,0.04966716448527653,0.06544544791389162,0.1262227882417553
LSTCN,augmented,Russian Federation,3,0.23439342225764448,0.23544017731797784,0.26619368822247685,0.7310883432669593
LSTCN,augmented,Russian Federation,4,0.376257715166173,0.1020738655361609,0.11661925457670003,0.211840878447866
LSTCN,augmented,China,0,0.007317794396733875,0.08246939899522367,0.12076138482792483,0.1147407725066068
LSTCN,augmented,China,1,0.014330464260952214,0.02979208513291355,0.04091458152444802,0.05295183351603525
LSTCN,augmented,China,2,0.0133019134475549,0.07545754677318933,0.08637455506161354,5.032759204540129
LSTCN,augmented,China,3,0.021092485355300967,0.04143320308029736,0.048949152708936884,0.2035776832442877
LSTCN,augmented,China,4,0.02067168201783328,0.09472148078685158,0.14824953162270593,0.18206984400550758
LSTCN,augmented,United States,0,0.3877434201707865,0.1751619447710363,0.18941088854654917,0.2444432296459449
LSTCN,augmented,United States,1,0.5713013437330089,0.03955818603754804,0.05040885989755762,0.05610432141954423
LSTCN,augmented,United States,2,0.32863670099834386,0.15352877046104618,0.17459640138105142,0.22142730261891508
LSTCN,augmented,United States,3,0.35930918007184054,0.15014731207903415,0.1675192342426248,1.125808533322052
LSTCN,augmented,United States,4,0.2470273451074144,0.3478519900035098,0.4154492724727784,6.092088268430011
LSTCN,augmented,India,0,0.023825344468394998,0.0509232412814713,0.05793127842640283,0.07670612914605628
LSTCN,augmented,India,1,0.015953607731854336,0.015441491029267174,0.016428844344524848,0.028461158883070842
LSTCN,augmented,India,2,0.013113305846564569,0.07671545475940969,0.10071383294102579,0.30505036413402775
LSTCN,augmented,India,3,0.020579687777341673,0.06185484697114538,0.09747743956696064,1.0676995283009372
LSTCN,augmented,India,4,0.02369715837048546,0.06240818699725251,0.0698393339861508,0.21626655880801088
LSTCN,augmented,Indonesia,0,0.03224254904153464,0.07814477632163878,0.09593053214159399,0.14889955714632727
LSTCN,augmented,Indonesia,1,0.02771994067797489,0.03973098151373437,0.047294432786509834,0.09879148858941642
LSTCN,augmented,Indonesia,2,0.02612217248558334,0.045766288192890546,0.057753682153591224,0.17511858715946946
LSTCN,augmented,Indonesia,3,0.026992608143455776,0.06373259867500716,0.0703585653660734,0.5813940656999518
LSTCN,augmented,Indonesia,4,0.029409797871776867,0.05151658574792749,0.059717109155572635,1.017789382570297
